title,price,link,images
STG C10 NOIR,449,https://www.electroplanet.ma/p2524385-stg-c10-noir.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/s/a/sans-titre-_1_.jpg
STG P10 1G/16G BLACK,749,https://www.electroplanet.ma/p2548708-stg-p10-1g-16g-black.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/p/1/p10-black-_1_.jpg
STG P10 1G/16G BLEU,750,https://www.electroplanet.ma/p2576050-stg-p10-1g-16g-bleu.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/p/1/p10-blue-_1_.jpg
ITEL S15 PRO PURPLE,999,https://www.electroplanet.ma/p2497278-itel-s15-pro.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/4/2497278.jpg
SAMSUNG GALAXY A02 3G 32G BLEU,999,https://www.electroplanet.ma/p2821157-samsung-galaxy-a02-3g-32g-bleu.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/8/2821157.jpg
SAMSUNG GALAXY A02 3G 32G GRIS,999,https://www.electroplanet.ma/p2821159-samsung-galaxy-a02-3g-32g-gris.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/8/2821159.jpg
SAMSUNG GALAXY A02 3G 32G NOIR,999,https://www.electroplanet.ma/p2821156-samsung-galaxy-a02-3g-32g-noir.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/8/2821156_3.jpg
SAMSUNG GALAXY A02 3G 32G ROUGE,999,https://www.electroplanet.ma/p2821158-samsung-galaxy-a02-3g-32g-rouge.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/8/2821158.jpg
XIAOMI REDMI 9A 32 GO BLEU,1099,https://www.electroplanet.ma/p2569976-xiaomi-redmi-9a-32-go-bleu.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/5/2569976.jpg
XIAOMI REDMI 9A 32 GO GRIS,1099,https://www.electroplanet.ma/p2569977-xiaomi-redmi-9a-32-go-gris.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/5/2569977.jpg
XIAOMI REDMI 9A VERT,1099,https://www.electroplanet.ma/p2571711-xiaomi-redmi-9a-vert.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/5/2571711.jpg
NOKIA 2.4 BLEU,1150,https://www.electroplanet.ma/p2822757-nokia-2-4-bleu.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/w/o/wolverine_rational_fjord_back_tif.jpg
NOKIA 2.4 GRIS,1150,https://www.electroplanet.ma/p2822755-nokia-2-4-gris.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/w/o/wolverine_rational_charcoal_front_tif.jpg
NOKIA 2.4 VIOLET,1150,https://www.electroplanet.ma/p2822756-nokia-2-4-violet.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/w/o/wolverine_rational_dusk_front_tif.jpg
SAMSUNG GALAXY A02S BLEU,1249,https://www.electroplanet.ma/p2809442-samsung-galaxy-a02s-bleu.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/0/6/06_galaxy-a02s_blue_front_r30.jpg
STG S10 NOIR,1249,https://www.electroplanet.ma/p2543791-stg-s10-noir.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/s/1/s10_pckg_def_black.png
XIAOMI REDMI 9C BLEU,1330,https://www.electroplanet.ma/p2580584-xiaomi-redmi-9c-bleu.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/c/3/c3m-blue-_.jpg
XIAOMI REDMI 9C GREY,1330,https://www.electroplanet.ma/p2580583-xiaomi-redmi-9c-grey.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/c/3/c3m-black-_.jpg
XIAOMI REDMI 9C ORANGE,1330,https://www.electroplanet.ma/p2580585-xiaomi-redmi-9c-orange.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/c/3/c3m-orange-_.jpg
SAMSUNG GALAXY M11 BLEU,1349,https://www.electroplanet.ma/p2548203-samsung-galaxy-m11-bleu.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/m/1/m11-bleu.jpg
XIAOMI REDMI 9 GRIS,1390,https://www.electroplanet.ma/p2571713-xiaomi-redmi-9-gris.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/5/2571713.jpg
XIAOMI REDMI 9 VERT,1390,https://www.electroplanet.ma/p2569975-xiaomi-redmi-9-vert.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/5/2569975.jpg
XIAOMI REDMI 9 VIOLET,1390,https://www.electroplanet.ma/p2571712-xiaomi-redmi-9-violet.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/5/2571712.jpg
OPPO A15 3G 32G BLEU MYSTERE,1399,https://www.electroplanet.ma/p2821479-oppo-a15-3g-32g-bleu-mystere.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/a/1/a15-navigation-blue-v2-_1.jpg
OPPO A15 3G 32G NOIR DYNAMIQUE,1399,https://www.electroplanet.ma/p2821469-oppo-a15-3g-32g-noir-dynamique.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/q/s/qs.jpg
STG A2PRO BLEU,1400,https://www.electroplanet.ma/p2479974-stg-a2pro-bleu.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/4/2479974.jpg
STG A2PRO BLEU,1400,https://www.electroplanet.ma/p2479974-stg-a2pro-bleu.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/4/2479974.jpg
HUAWEI Y6P NOIR,1449,https://www.electroplanet.ma/p2551952-huawei-y6p-noir.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/5/2551952_1_1.jpg
HUAWEI Y6P VERT,1449,https://www.electroplanet.ma/p2551953-huawei-y6p-vert.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/5/2551953_1_1.jpg
HUAWEI Y6P VIOLET,1449,https://www.electroplanet.ma/p2551954-huawei-y6p-violet.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/5/2551954_1_1.jpg
HUAWEI Y6S BLEU,1459,https://www.electroplanet.ma/p2527677-huawei-y6s-bleu.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/y/6/y6s-bleu.jpg
HUAWEI Y6S NOIR,1459,https://www.electroplanet.ma/p2527676-huawei-y6s-noir.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/s/m/smartpohne-huawei-y6s-noir-.jpg
SAMSUNG GALAXY A02S NOIR,1490,https://www.electroplanet.ma/p2809443-samsung-galaxy-a02s-noir.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/0/6/06_galaxy-a02s_black_front_r30.jpg
SAMSUNG GALAXY A02S ROUGE,1490,https://www.electroplanet.ma/p2809444-samsung-galaxy-a02s-rouge.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/s/m/sm_a025_global_galaxy-a02s_red_back_l30.jpg
SAMSUNG GALAXY A11 BLEU,1490,https://www.electroplanet.ma/p2550080-samsung-galaxy-a11-bleu.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/5/2550080.jpg
SAMSUNG GALAXY A11 NOIR,1490,https://www.electroplanet.ma/p2550081-samsung-galaxy-a11-noir.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/5/2550081.jpg
XIAOMI REDMI 9 64 GO GRIS,1490,https://www.electroplanet.ma/p2569972-xiaomi-redmi-9-64-go-gris.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/5/2569972.jpg
XIAOMI REDMI 9 VERT,1490,https://www.electroplanet.ma/p2569974-xiaomi-redmi-9-vert.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/5/2569974.jpg
XIAOMI REDMI 9 VIOLET,1490,https://www.electroplanet.ma/p2569973-xiaomi-redmi-9-violet.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/5/2569973.jpg
OPPO A12 BLEU,1499,https://www.electroplanet.ma/p2550005-oppo-a12-bleu.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/5/2550005.jpg
OPPO A12 NOIR,1499,https://www.electroplanet.ma/p2550004-oppo-a12-noir.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/5/2550004.jpg
